course-id,course-name
4GM,4th Grade Math
5GM,5th Grade Math
PAL,Pre Algebra
AG1,Algebra I
GEO,Geometry
AG2,Algebra II
IM1,Integrated Math I
IM2,Integrated Math II
IM3,Integrated Math III
PCL,Pre Calculus
HI1,Honors Integrated Math I
HI2,Honors Integrated Math II
HI3,Honors Integrated Math III
CAB,AP Calculus AB
CBC,AP Calculus BC
SMF,SAT Math Fundamentals
MF1,Mathematical Foundations I
MF2,Mathematical Foundations II
MF3,Mathematical Foundations III
CA1,Calculus I
CA2,Calculus II
MVC,Multivariable Calculus
DEQ,Differential Equations
PAS,Probability and Statistics
LAL,Linear Algebra
DSM,Discrete Mathematics
MOP,Methods of Proof
MML,Mathematics for Machine Learning
